sequence_id,published_date,title,caption,instagram_url,content_category,dish_name,sweet_savory,food_type,ingredients_text,instructions_text,has_recipe
1,08/05/2023, הכדורי שוקולד חלבון,"מכירים את הכדורי שוקולד שמצופים בקוקוס שאי אפשר
להפסיק לאכול?
אז הכנתי אותם בול רק בגרסה הדלת קלוריות ועם חלבון
שאין מצב שתרגישו בהבדל
המתכוןןן
מצרכים:
100 גרם ביסקיוויטים טחונים
75 אבקת חלבון שוקולדית שאתם אוהבים
25 גרם קקאו
125 גרם חלב 1 אחוז
נערבב הכל ביחד נשים במקרר לחצי שעה ונחלק ל15 כדורים
וזהווו
איזה קל נכון?
ואפשר כמובן לצפות בקוקוס או סוכריות מה שאתם אוהבים
הכל משתלב אש

ערכים לכדור 1 מתוך 15:
60 קלוריות
1.5 שומן
6 פחמימה
5 חלבון
תרשמו לי בתגובות אם אהבתם ואיזה עוד מתכונים תרצו
שאעלה 🥰👇❤️",https://www.instagram.com/reel/Cr_Ia7JO-Q8/,FOOD,מכירים את הכדורי שוקולד שמצופים בקוקוס שאי אפשר,SWEET,כדורי אנרגיה/ממתק,"מצרכים:
100 גרם ביסקיוויטים טחונים
75 אבקת חלבון שוקולדית שאתם אוהבים
25 גרם קקאו
125 גרם חלב 1 אחוז","נערבב הכל ביחד נשים במקרר לחצי שעה ונחלק ל15 כדורים
וזהווו
איזה קל נכון?
ואפשר כמובן לצפות בקוקוס או סוכריות מה שאתם אוהבים
הכל משתלב אש",YES
11,09/05/2023,מאפה נוטלה מ2 מרכיבים ,"מאפה נוטלה מ2 מרכיבים שמרגיש מושחת בטירוף ורק 84 קלוריות 😨ופשוט מושלם ליד הקפה 
מצרכים:
2 דפי פילו 
60 גרם נוטלה
אופן הכנה: 
אני חילקתי כל דף פילו ל3 זילפתי בקצה 10 גרם נוטלה גילגלתי קצת ספריי שמן/ חלמון ביצה כדי שישתזף יפה בתנור 
להכניס לתנור שחומם מראש על 180 מעלות ל10 דקות וזהו 🫶🏼 
תרשמו לי בתגובות איזה עוד מתכונים תרצו שאעלה 🤍",https://www.instagram.com/reel/CsBzzTnL-PT/,FOOD,מאפה נוטלה מ2 מרכיבים שמרגיש מושחת בטירוף ורק 84 קלוריות ופשוט מושלם ליד הקפה,SWEET,מאפה,"מצרכים:
2 דפי פילו 
60 גרם נוטלה","אופן הכנה: 
אני חילקתי כל דף פילו ל3 זילפתי בקצה 10 גרם נוטלה גילגלתי קצת ספריי שמן/ חלמון ביצה כדי שישתזף יפה בתנור 
להכניס לתנור שחומם מראש על 180 מעלות ל10 דקות וזהו 🫶🏼 
תרשמו לי בתגובות איזה עוד מתכונים תרצו שאעלה 🤍",YES
12,10/05/2023,כדורי שום ,"הכנתי לכם מתכון ממכר לכדורי שום שלא תצליחו להפסיק לאכול ושפשוט יהיה לכם מושלם לחג שבועות שמתקרב ❤️ 
מצרכים: 
500 גרם קמח לחם - אפשר גם קמח לבן
10 גרם סוכר
8 גרם שמרים יבשים
 280 גרם מים 
10 גרם שמן זית 
כפית מלח 
3 שיני שום 
לציפוי 
5 שיני שום
15 גרם חמאה מופחתת שומן 
קצת פטרוזיליה 

אופן הכנה:
במיקסר עם וו לישה נשים את כל המצרכים של הבצק חוץ מהמלח נלוש על מהירות בינונית ל8 דקות לאחר מכן נוסיף את המלח ונלוש עוד 2 דקות 
נכסה את הבצק במגבת וניתן לו התפחה של שעה 
אחרי שעה נחלק את הבצק לכדורים ונתפיח שוב ל40 דקות 
נבריש בביצה ונכניס לתנור שחומם מראש על 180 
אחרי 20 דקות 
נערבב את החמאה השום והפטרוזיליה ונמרח על הכדורים וניתן אפייה של עוד 10 דקות 
ספרו לי בתגובות אם אהבתם ואיזה עוד מתכונים תרצו 🫶🏼❤️

מתכון ליחידה 1 מתוך 41: 
49 קלוריות 
0.5 שון 
9.4 פחמימה 
1.3 חלבון",https://www.instagram.com/reel/CsEVOhkrQfc/,FOOD,הכנתי לכם מתכון ממכר לכדורי שום שלא תצליחו להפסיק לאכול ושפשוט יהיה לכם מושלם לחג שבועות שמתקרב,SAVORY,לחם/מאפה,"מצרכים: 
500 גרם קמח לחם - אפשר גם קמח לבן
10 גרם סוכר
8 גרם שמרים יבשים
 280 גרם מים 
10 גרם שמן זית 
כפית מלח 
3 שיני שום 
לציפוי 
5 שיני שום
15 גרם חמאה מופחתת שומן 
קצת פטרוזיליה","אופן הכנה:
במיקסר עם וו לישה נשים את כל המצרכים של הבצק חוץ מהמלח נלוש על מהירות בינונית ל8 דקות לאחר מכן נוסיף את המלח ונלוש עוד 2 דקות 
נכסה את הבצק במגבת וניתן לו התפחה של שעה 
אחרי שעה נחלק את הבצק לכדורים ונתפיח שוב ל40 דקות 
נבריש בביצה ונכניס לתנור שחומם מראש על 180 
אחרי 20 דקות 
נערבב את החמאה השום והפטרוזיליה ונמרח על הכדורים וניתן אפייה של עוד 10 דקות 
ספרו לי בתגובות אם אהבתם ואיזה עוד מתכונים תרצו 🫶🏼❤️

מתכון ליחידה 1 מתוך 41: 
49 קלוריות 
0.5 שון 
9.4 פחמימה 
1.3 חלבון",YES
13,12/05/2023,אורז אדום עם עגבניות צלויות ,"אורז אדום עם עגבניות צלויות שפשוט מושלם ליד כל דבר! 
הטעם של העגבניות הצלויות משדרג את האורז כל כך
אז נכין? 
מצרכים: 
2 בצלים 
3 שיני שום 
2 עגבניות 
כוס אורז 
2 כוסות מים 
מלח 
פלפל
פפריקה 
כפית שמן זית 
אופן הכנה: 
נתחיל בלקצוץ את העגבניות לערבב עם כפית שמן זית ונשים בתנור ל10-15 על מצב גריל 
בנתיים נטגן את הבצל נוסיף את השום והתבלינים נשפוך את האורז והעגבניות ונערבב היטב 
נמזוג אל הסיר 2 כוסות מים ונבשל עם מכסה סגור על אש נמוכה ל20 דקות 
וזהו סיימנו! 
בתאבון 💗💗 
תעקבו אחריי לעוד מתכונים ✅",https://www.instagram.com/reel/CsJJOYbMdkI/,FOOD,אורז אדום עם עגבניות צלויות שפשוט מושלם ליד כל דבר,SAVORY,אורז,"מצרכים: 
2 בצלים 
3 שיני שום 
2 עגבניות 
כוס אורז 
2 כוסות מים 
מלח 
פלפל
פפריקה 
כפית שמן זית","אופן הכנה: 
נתחיל בלקצוץ את העגבניות לערבב עם כפית שמן זית ונשים בתנור ל10-15 על מצב גריל 
בנתיים נטגן את הבצל נוסיף את השום והתבלינים נשפוך את האורז והעגבניות ונערבב היטב 
נמזוג אל הסיר 2 כוסות מים ונבשל עם מכסה סגור על אש נמוכה ל20 דקות 
וזהו סיימנו! 
בתאבון 💗💗 
תעקבו אחריי לעוד מתכונים ✅",YES
14,13/05/2023,חומוס ירוק,"חומוס בצבע ירוק עם טעם מרענן וב2 דקות הכנה!! 😨💚
מצרכים: 
250 גרם גרגירי חומוס מקופסת שימורים
25 גרם טחינה 
1-3 שיני שום 
פטרוזיליה 
נענע 
מיץ מחצי לימון 
כפית מלח 
חצי כפית כמון 
3 כפות מי החומוס מהקופסא
אופן הכנה הכי פשוט בעולם פשוט נטחן את כל המרכיבים במעבד מזון עד לתערובת חלקה נצלחת יפה ובתאבוןןן ❤️ 
ערכים למנה 1 מתוך 3: 
173 קלוריות 
7 שומן 
18 פחמימה 
8 חלבון 
ערכים מטורפים לחומוס",https://www.instagram.com/reel/CsMTYPANMnt/,FOOD,חומוס בצבע ירוק עם טעם מרענן וב2 דקות הכנה,SAVORY,חומוס,"מצרכים: 
250 גרם גרגירי חומוס מקופסת שימורים
25 גרם טחינה 
1-3 שיני שום 
פטרוזיליה 
נענע 
מיץ מחצי לימון 
כפית מלח 
חצי כפית כמון 
3 כפות מי החומוס מהקופסא","אופן הכנה הכי פשוט בעולם פשוט נטחן את כל המרכיבים במעבד מזון עד לתערובת חלקה נצלחת יפה ובתאבוןןן ❤️ 
ערכים למנה 1 מתוך 3: 
173 קלוריות 
7 שומן 
18 פחמימה 
8 חלבון 
ערכים מטורפים לחומוס",YES
15,14/05/2023,עראיס עוף,"עראיס עוף - 5 דק' ויש לכם ארוחה פגזית!

מתכון של רותם עדיני מנבחרת הבשלנים של @israeli_kitchen

💟 רוצים את המתכון? רשמו תגובה ורותם תשלח לכם בהודעה פרטית.
✅ אל תשכחו לשמור את הפוסט כדי שתוכלו לחזור אליו גם בהמשך.

מתכון @rotem_adini",https://www.instagram.com/reel/CsOnTFwK-6t/,FOOD,עראיס עוף - 5 דק' ויש לכם ארוחה פגזית,SAVORY,עוף,,,NO
16,16/05/2023,פשטידת אטריות ב10 דקות הכנה,"פשטידת אטריות ב10 דקות הכנה! 
טעימה ומלאת חלבון 
אז מה צריך?
160 גרם אטריות לפני בישול 
2 ביצים 
כפית שמן
150 גרם קוטג׳ 5 אחוז
100 גרם גבינה צהובה 9 אחוז
100 גרם בולגרית 5 אחוז
מלח ופלפל לפי הטעם
אופן הכנה:
נכין את האטריות לפי הוראות היצרן 
נסנן את האטריות ונערבב אותן יחד עם 2 ביצים כפית שמן ומלח פלפל 
נשטח על מחבת חמה חצי מהכמות נוסיף את הקוטג׳ הגבינה הצהובה והבולגרית ונכסה בשאר האטריות 
לאחר כמה דקות נהפוך בעזרת צלחת את הפשטידה ונטגן גם מהצד השני נוציא מהמחבת ובתיאבון ❤️ 
ערכים לפרוסה 1 מתוך 8: 
153 קלוריות 
5 שומן 
16 פחמימה 
11 חלבון 
תעקבו למתכונים נוספים ✔️",https://www.instagram.com/reel/CsTyuEaM9x6/,FOOD,פשטידת אטריות ב10 דקות הכנה,SAVORY,פשטידה,"אז מה צריך?
160 גרם אטריות לפני בישול 
2 ביצים 
כפית שמן
150 גרם קוטג׳ 5 אחוז
100 גרם גבינה צהובה 9 אחוז
100 גרם בולגרית 5 אחוז
מלח ופלפל לפי הטעם","אופן הכנה:
נכין את האטריות לפי הוראות היצרן 
נסנן את האטריות ונערבב אותן יחד עם 2 ביצים כפית שמן ומלח פלפל 
נשטח על מחבת חמה חצי מהכמות נוסיף את הקוטג׳ הגבינה הצהובה והבולגרית ונכסה בשאר האטריות 
לאחר כמה דקות נהפוך בעזרת צלחת את הפשטידה ונטגן גם מהצד השני נוציא מהמחבת ובתיאבון ❤️ 
ערכים לפרוסה 1 מתוך 8: 
153 קלוריות 
5 שומן 
16 פחמימה 
11 חלבון 
תעקבו למתכונים נוספים ✔️",YES
17,18/05/2023,פסטה בטטה,"פסטה בטטה - לא תפסיקו ללקק את האצבעות!

מתכון של רותם עדיני מנבחרת הבשלנים של @israeli_kitchen

💟 רוצים את המתכון? רשמו תגובה ורותם תשלח לכם בהודעה פרטית.
✅ אל תשכחו לשמור את הפוסט כדי שתוכלו לחזור אליו גם בהמשך.

מתכון @rotem_adini",https://www.instagram.com/reel/CsYPpB0q9nn/,FOOD,פסטה בטטה - לא תפסיקו ללקק את האצבעות,SAVORY,פסטה,,,NO
18,20/05/2023,עוגת גבינה דיאטטית,"יש יותר טעים מעוגת גבינה? 
ואם היא דיאטטית ועוד עם מלא חלבוןןן אז בכלל שיחוק 
אז למתכון…
מצרכים:
750 גרם גבינה 0.5 
יוגורט 3%
4 ביצים 
 3 כפות קורנפלור
3 כפות אינסטנט פודינג 
 20 גרם סוכרלוז נוזלי או תחליף סוכר 

אופן הכנה: 
בקערה נערבב את כל המצרכים **חוץ מהחלבונים** 
בקערה שנייה נקציף את החלבונים עד לקצף יציב 
איך תדעו שהוא יציב? תהפכו את הקערה והקצף לא יזוז 
מאחדים את 2 התערובות בתנועות קיפול (כל פעם להוסיף קצת ולערבב סך הכל 3 פעמים) 
נכניס לתנור שחומם מראש ל180 מעלות ל15 דקות ואחר כך נוריד את המעלות ל150 לעוד שעה שלמה! 
כמה טיפים לעוגה מושלמת ❤️ 
• מומלץ לשים בתחתית התנור תבנית עם מים רותחים 
• לא לפתוח את התנור במהלך האפייה
• לאחר שעה ורבע אפייה להשאיר את העוגה בתנור סגור לעוד שעתיים ואז למקרר ל8 שעות לפחות 
ערכים לחתיכה 1 מתוך 12 👇 
97 קלוריות 
3 שומן 
8 פחמימה 
10 חלבון 
 
 בתאבוןןן ותרשמו לי אם אהבתם 🤍🤍",https://www.instagram.com/reel/CseYh3KNdoJ/,FOOD,יש יותר טעים מעוגת גבינה,SWEET,עוגת גבינה,"מצרכים:
750 גרם גבינה 0.5 
יוגורט 3%
4 ביצים 
 3 כפות קורנפלור
3 כפות אינסטנט פודינג 
 20 גרם סוכרלוז נוזלי או תחליף סוכר","אופן הכנה: 
בקערה נערבב את כל המצרכים **חוץ מהחלבונים** 
בקערה שנייה נקציף את החלבונים עד לקצף יציב 
איך תדעו שהוא יציב? תהפכו את הקערה והקצף לא יזוז 
מאחדים את 2 התערובות בתנועות קיפול (כל פעם להוסיף קצת ולערבב סך הכל 3 פעמים) 
נכניס לתנור שחומם מראש ל180 מעלות ל15 דקות ואחר כך נוריד את המעלות ל150 לעוד שעה שלמה! 
כמה טיפים לעוגה מושלמת ❤️ 
• מומלץ לשים בתחתית התנור תבנית עם מים רותחים 
• לא לפתוח את התנור במהלך האפייה
• לאחר שעה ורבע אפייה להשאיר את העוגה בתנור סגור לעוד שעתיים ואז למקרר ל8 שעות לפחות 
ערכים לחתיכה 1 מתוך 12 👇 
97 קלוריות 
3 שומן 
8 פחמימה 
10 חלבון 
 
 בתאבוןןן ותרשמו לי אם אהבתם 🤍🤍",YES
21,23/05/2023,כדורי תירס במילוי מוצרלה,"כדורי תירס במילוי מוצרלה פשוט מושלמים! 
אז מה צריך? 
100 גרם קמח תירס 
340 גרם מים 
100 גרם תירס לייט 
15 כדורי בייבי מוצרלה 
מלח ופלפל לפי הטעם 
אופן הכנה: 
נרתיח את המים ונוסיף את הקמח תירס ונערבב היטב עד שזה נהיה סמיך 
נוסיף מלח ופלפל 
נשפוך את גרגירי התירס ונערבב 
נכניס למקרר להתייצבות ל15 דקות 
נוציא מהמקרר נחלק ל15 חתיכות ובכל חתיכה נשים כדור מוצרלה ונכדרר טוב 
נכניס לתנור שחומם מראש על 200 מעלות ל20 דקות 
אחרי עשר דקות נהפוך את הכדורים 
וזהו מוכןןן 
ערכים ליחידה 1 מתוך 15:
46 קלוריות 
1.7 שומן 
5.4 פחמימה 
2.1 חלבון 
בתיאבון!! ❤️❤️
תרשמו לי בתגובות אם אהבתם 😊",https://www.instagram.com/reel/Csl8O6FOuCv/,FOOD,כדורי תירס במילוי מוצרלה פשוט מושלמים,SAVORY,כדורי אנרגיה/ממתק,"אז מה צריך? 
100 גרם קמח תירס 
340 גרם מים 
100 גרם תירס לייט 
15 כדורי בייבי מוצרלה 
מלח ופלפל לפי הטעם","אופן הכנה: 
נרתיח את המים ונוסיף את הקמח תירס ונערבב היטב עד שזה נהיה סמיך 
נוסיף מלח ופלפל 
נשפוך את גרגירי התירס ונערבב 
נכניס למקרר להתייצבות ל15 דקות 
נוציא מהמקרר נחלק ל15 חתיכות ובכל חתיכה נשים כדור מוצרלה ונכדרר טוב 
נכניס לתנור שחומם מראש על 200 מעלות ל20 דקות 
אחרי עשר דקות נהפוך את הכדורים 
וזהו מוכןןן 
ערכים ליחידה 1 מתוך 15:
46 קלוריות 
1.7 שומן 
5.4 פחמימה 
2.1 חלבון 
בתיאבון!! ❤️❤️
תרשמו לי בתגובות אם אהבתם 😊",YES
