"reel_index","reel_shortcode","reel_url","publish_date","publish_date_raw","caption_full","hook_text","hook_type","duration_sec","duration_sec_raw","views","viewers_estimated_beta_reach","views_followers_pct","views_nonfollowers_pct","likes","comments","saves","shares","interactions_total","interactions_followers_pct","interactions_nonfollowers_pct","accounts_engaged","follows","follows_per_1000_views","saves_per_1000_views","shares_per_1000_views","comments_per_1000_views","likes_per_1000_views","interactions_per_1000_views","accounts_engaged_per_1000_views","primary_category","series","subtype_clean","subtype_raw","presentation_format_clean","presentation_format_raw","rotem_appears_clean","rotem_appears_raw","meir_appears_clean","meir_appears_raw","both_appear_clean","both_appear_raw","cta","commercial_status","source","notes"
"1","DcSxhVRIPAh","https://www.instagram.com/rotem_adini/reel/DcSxhVRIPAh/","2026-08-21","2026-08-21 (posted 'יום אחד'/1 day ago at time of inspection 2026-08-22)","קבלו את הפרק ה-14 בסדרה שלי ""איך לשדרג עוגת ביסקוויטים"" והפעם עוגת ביסקוויטים באונטי 🥥🍫 שכבות של ביסקוויטים וקרם קוקוס, ומעל הכול גנאש שוקולד מריר... [full ingredients + steps]","למה לאכול ישר מהתבנית (on-screen text, spoken while talking to camera)","Question","18.43","18.43","14609","8074","33.4%","66.6%","133","5","80","17","238","74.1%","25.9%","204","3","0.21","5.48","1.16","0.34","9.1","16.29","13.96","Food","Biscuit Cake series (episode 14 - 'איך לשדרג עוגת ביסקוויטים')","Biscuit cake","Biscuit cake","Talking to camera","Talking to camera","Yes","Yes (face clearly visible, talking/eating on camera)","No","No","No","No","No CTA","Organic","reused_from_previous_dataset","IMPORTANT data-quality observation: for this smaller/recent reel, the Views-section Followers/Non-followers split rendered as real percentages (33.4%/66.6%) and Interactions split rendered as real percentages (74.1%/25.9%), unlike reels 1-3 (large viral, older reels) where these fields displayed 'NaN%'. Also note viewers_estimated_beta_reach (8,074) is more than half of views (14,609) here, a very different ratio than reels 1-3 where it was a tiny fraction of views -- suggests the beta 'viewers' metric may behave inconsistently/unreliably at high view counts. Flagged as a significant limitation."
"2","DcGnYHOI4rK","https://www.instagram.com/rotem_adini/reel/DcGnYHOI4rK/","2026-08-17","2026-08-17 (posted '5 ימים'/5 days ago at time of inspection 2026-08-22)","איזה כיף שיש מסעדות טובות בדרום! ובתור שדרותית... תכירו את מילה האוס - מסעדה איטלקית כשרה למהדרין בשדרות... והכי שווה - כל מי שמגיע דרכי מקבל 1+1 על הקוקטיילים במסעדה (הטבה בתוקף עד 31.8). הרצל 27, שדרות. בשיתוף מילה האוס @mila_house_","איזה כיף שיש מסעדות טובות בדרום! (spoken/caption opening) / on-screen text 'בעיר הזאת'","Relatable statement","30.27","30.27","9658","6424","34.7%","65.3%","100","24","40","68","240","59.8%","40.2%","167","2","0.21","4.14","7.04","2.48","10.35","24.85","17.29","Collaboration","None","Restaurant","Restaurant","Voice-over demo","Voice-over (restaurant b-roll + on-screen text; Rotem's face not visible in inspected frame)","Unclear","Unclear (not visible in inspected frame; likely narrates via voice-over)","No","No (meir43214 only appears as a commenter, not in the video)","No","No","Other (limited-time 1+1 cocktail offer for followers who visit the restaurant, i.e. a 'visit' CTA tied to a promo code/mention)","Collaboration / Sponsored (explicit 'בשיתוף' / in-partnership-with tag with @mila_house_, a restaurant)","reused_from_previous_dataset","DATA CONFLICT: the on-page comment counter under the post showed '26', but the Insights panel's תגובות (comments) field showed 24. Both values recorded; comments field here uses the Insights panel figure (24) per instructions to prefer Insights as source of truth, but the conflict is flagged per evidence rules."
"3","DbZ-KukINCE","https://www.instagram.com/rotem_adini/reel/DbZ-KukINCE/","2026-08-16","2026-08-16 (posted '6 ימים'/6 days ago at time of inspection 2026-08-22)","ממשיכים בסדרת הדייטים שלנו לפי הא'-ב' והפעם האות י' דייט יצירה ויין 🍷🖌️ תתייגו את הפרטנר שלכם לדייט כזה 🥰👇🏻","ונפגש בדייט (on-screen text) / caption: ממשיכים בסדרת הדייטים שלנו לפי הא'-ב' והפעם האות י'","Series introduction","25.93","25.93","32028","24559","1%","99%","712","25","291","302","1338","4.3%","95.7%","1173","227","7.09","9.09","9.43","0.78","22.23","41.78","36.62","Couple","A-Z Dates (letter Yod / י - 'Creation and wine' date)","Date","Date","Mixed / Other","Mixed (outdoor date montage with some dialogue; both partners shown drinking wine on a picnic blanket)","Yes","Yes","Yes","Yes (inferred male partner in frame; not independently confirmed as Meir specifically vs. simply 'the partner', but consistent with baseline's Couple/A-Z Dates content featuring Meir)","Yes","Yes","Comment (caption explicitly asks: 'תתייגו את הפרטנר שלכם לדייט כזה' - tag your partner for a date like this)","Organic","reused_from_previous_dataset","99% non-follower reach on Views -- strong external discovery for this Couple/date-series reel, consistent with baseline's finding that couple content can reach heavily non-follower audiences. Follows (227) again exactly equals profile_activity (227) -- see cross-reel pattern note in collection notes file."
"4","Dbcu_l_oNzq","https://www.instagram.com/rotem_adini/reel/Dbcu_l_oNzq/","2026-07-31","2026-07-31","פרק 13 בסדרה ""איך לשדרג עוגת ביסקוויטים"" הגיע 💜 והפעם שילוב שלא ציפיתי להתאהב בו כל כך – פירות יער ושוקולד לבן... אם בא לכם את המתכון, תגיבו ""מתכון"" ואשלח לכם אותו 😍","פרק 13 בסדרה ""איך לשדרג עוגת ביסקוויטים"" הגיע (caption/likely spoken opening) / on-screen text 'זה פשוט...' (partial)","Series introduction","28.93","28.93","139927","13179","38.3%","61.7%","404","480","340","126","1361","57.1%","42.9%","872","40","0.29","2.43","0.9","3.43","2.89","9.73","6.23","Food","Biscuit Cake series (episode 13 - berries and white chocolate)","Biscuit cake","Biscuit cake","Voice-over demo","Voice-over / hands-only demo (spoon drizzling berry sauce over cake)","Yes","Yes (hands only)","No","No","No","No","Recipe keyword (caption: 'תגיבו מתכון ואשלח לכם אותו' - comment 'recipe' and I'll send it to you)","Organic","reused_from_previous_dataset","DATA CONFLICT: compact action-bar under the post showed a count of 565 next to the icon in the comment-count position, while the Insights panel's תגובות (comments) field showed 480. Recorded comments=480 from Insights (treated as the more authoritative owner-analytics source) but flagging the mismatch per evidence rules. This same bar-vs-Insights mismatch pattern should be checked across all reels."
"5","DbTLmQZowW4","https://www.instagram.com/rotem_adini/reel/DbTLmQZowW4/","2026-07-27","2026-07-27","מאיר היה בטוח שהוא זוכר הכול על הזוגיות שלנו... אז החלטתי לבדוק את זה כמו שצריך 😂 מה אתם אומרים - מי אצלכם זוכר יותר דברים מהזוגיות? לכבוד ט""ו באב הכנתי חבילה זוגית מיוחדת ב-100 ₪ [3 couples games + date invitations product promo] ... לרכישה דרך הקישור בביו, או הגיבו ""משחק"" ואשלח לכם את הקישור בפרטי 💝","POV: הזוג שלך בטוח שהוא זוכר הכול על הזוגיות שלכם... (on-screen text)","Curiosity","41.73","41.73","13352","9089","24.5%","75.5%","134","17","12","8","174","48.3%","51.7%","163","1","0.07","0.9","0.6","1.27","10.04","13.03","12.21","Couple","None (references her own 'מירוץ האהבה' etc. game products/highlight, but this post itself is a Tu B'Av product promo, not a numbered series episode)","Couple game","Couple game (also functions as a product/sale promotion for her own couples-game bundle, ₪100, Tu B'Av offer)","Talking to camera","Talking to camera","Yes","Yes (clearly, talking to camera on a couch)","Unclear","Unclear (named/tagged in caption and comments, not clearly visible in the inspected frame)","Unclear","Unclear","Other (comment the keyword 'משחק'/'game' to receive a purchase link via DM, or use bio link)","Organic (self-promotion of her own product, not a third-party brand collaboration)","reused_from_previous_dataset","DATA CONFLICT: action bar showed comment count 23, Insights panel showed תגובות (comments) = 17. Recorded 17 from Insights; conflict flagged. Duration shown briefly as '0:01' in raw insights text extraction (this is a UI playback-position artifact, not the true duration -- true duration taken from the video element's .duration property = 41.73s)."
"6","DbDDuQ7okoJ","https://www.instagram.com/rotem_adini/reel/DbDDuQ7okoJ/","2026-07-21","2026-07-21","מכירים את זה שאתם בדודא למשהו מלוח ומושחת? אז זה בדיוק המתכון בשבילכם 😍 כדורי פירה עם מוצרלה ופרמזן, קריספיים מבחוץ וממכרים ברמות. לטיגון השתמשתי בסיר לטיגון העמוק של אגדורה. רוצים את המתכון ואת הקישור לסיר? תגיבו לי ""מתכון"" ואשלח לכם הכול בפרטי 🩷 בשיתוף ממומן עם אגדורה @agadura_il","מכירים את זה שאתם בדודא למשהו מלוח ומושחת? (spoken/caption opening)","Question","29.1","29.1","22433","14549","23.7%","76.3%","267","68","114","80","534","51.6%","48.4%","399","2","0.09","5.08","3.57","3.03","11.9","23.8","17.79","Collaboration","None","Other","Other (savory fried mashed-potato/mozzarella balls, product placement for a deep fryer)","Talking to camera","Talking to camera","Yes","Yes (clearly, talking/eating on camera)","No","No","No","No","Recipe keyword (comment 'מתכון' to receive recipe + product link via DM)","Collaboration / Sponsored (explicit 'בשיתוף ממומן' / paid partnership tag with @agadura_il)","reused_from_previous_dataset","IMPORTANT: unlike organic reels (which label this metric 'צופים' / Viewers and mark it estimated/beta), this sponsored reel's Insights panel instead showed 'חשבונות Meta שהגעת אליהם' (Meta accounts you reached) = 14,549, with a caveat that it excludes time the Reel ran as a paid ad. This appears to be a genuine Reach-style metric, distinct from the beta 'Viewers' label seen on organic reels -- recorded here in the same viewers_estimated_beta_reach column for consistency, but the underlying metric label differs; flagged as a cross-reel pattern (paid/collab posts show 'accounts reached' language, organic posts show 'beta viewers' language). DATA CONFLICT: action bar showed comment count 84, Insights showed תגובות=68 (Insights count used); this bar>Insights comment discrepancy has now appeared in multiple reels."
"7","Da4mVc5I2RM","https://www.instagram.com/rotem_adini/reel/Da4mVc5I2RM/","2026-07-17","2026-07-17","עוגת שמרים שקדים נוטלה - אחד השילובים הנדירים לעוגת שמרים 😍 [full dough, almond cream, nutella, sugar-syrup recipe with detailed steps]","אני מודה שלבחור... (on-screen text, partial/cut off - appears to be a personal-confession style opener about choosing between flavors)","Personal confession","23.8","23.8","30498","16804","22.8%","77.2%","242","7","148","26","427","61.4%","38.6%","369","8","0.26","4.85","0.85","0.23","7.93","14","12.1","Food","None","Cake","Cake","Voice-over demo","Voice-over / hands-only demo","Yes","Yes (hands only)","No","No (meir43214 only comments)","No","No","No CTA","Organic","reused_from_previous_dataset","Action-bar comment count (7) matched Insights תגובות (7) exactly for this reel -- no conflict here, unlike several other reels."
"8","DamgunpI1gA","https://www.instagram.com/rotem_adini/reel/DamgunpI1gA/","2026-07-10","2026-07-10","אמאלה איך כל כך הרבה שנים לא ידעתי כמה טוב זה פקאן מסוכר 🤯 קבלו את הפרק ה-12 בסדרה שלי ""איך לשדרג עוגת ביסקוויטים"" והפעם עוגת ביסקוויטים פקאן מסוכר 💘 [full recipe: coffee-dipped biscuits, cream, white chocolate ganache with candied pecan]","אמאלה איך כל כך הרבה שנים לא ידעתי כמה טוב זה פקאן מסוכר (caption/spoken) / on-screen text 'שפתאום כשאני טועמת אותם...' (partial)","Personal confession","25","25","179408","35764","25.8%","74.2%","762","696","613","180","2275","47.4%","52.6%","1686","82","0.46","3.42","1","3.88","4.25","12.68","9.4","Food","Biscuit Cake series (episode 12 - candied pecan)","Biscuit cake","Biscuit cake","Talking to camera","Talking to camera","Yes","Yes (clearly, talking to camera, holding/tasting cake)","No","No (meir43214 only comments)","No","No","No CTA (full recipe already given in caption; many viewers still commented 'מתכון' organically but she did not prompt it)","Organic","reused_from_previous_dataset","DATA CONFLICT: action bar comment count 719 vs Insights תגובות 696 (bar>Insights pattern continues)."
"9","DZeb5pNoXKH","https://www.instagram.com/rotem_adini/reel/DZeb5pNoXKH/","2026-06-12","2026-06-12","עוגיות מיני קקאו ושוקולד לבן מושלמות לקורנפלקס!!! מה אומרים? להתחיל סדרת קורנפלקס חדשה? 😍👇🏻 [full cookie recipe and baking steps]","תקראו לי הזויה (on-screen text, 'call me crazy')","Contrarian statement","23.47","23.47","50004","3772","11.2%","88.8%","472","23","332","106","946","41%","59%","823","5","0.1","6.64","2.12","0.46","9.44","18.92","16.46","Food","None (proposes a potential new 'cornflake cookies' series in the caption; not an established recurring series at time of inspection)","Dessert","Dessert","Voice-over demo","Voice-over / hands-and-product shots (cookies shown, no face in inspected frame)","Yes","Yes (hands only in inspected frame)","No","No (meir43214 only comments)","No","No","Comment (caption asks 'מה אומרים? להתחיל סדרת קורנפלקס חדשה?' - inviting audience opinion/comments)","Organic","reused_from_previous_dataset","Action-bar comment count (23) matched Insights (23) exactly. Low viewers_estimated_beta_reach (3,772) relative to views (50,004) again, similar to the large older viral reels -- the pattern is not strictly about recency."
"10","DZMcHxIIxEN","https://www.instagram.com/rotem_adini/reel/DZMcHxIIxEN/","2026-06-05","2026-06-05","ברוכים הבאים לפרק 11 בסדרה שלי ""איך לשדרג עוגת ביסקוויטים ✨"" והפעם- עוגת בומב אוראו מושחתת במיוחד!!! [full recipe: Oreo-studded cream, biscuits dipped in milk, dark/milk chocolate ganache]","שהבינו את החיים (on-screen text, 'they figured life out')","Series introduction","27.13","27.13","47071","3072","20.8%","79.2%","361","12","223","92","697","56.8%","43.2%","627","16","0.34","4.74","1.95","0.25","7.67","14.81","13.32","Food","Biscuit Cake series (episode 11 - Oreo bomb cake)","Biscuit cake","Biscuit cake","Voice-over demo","Voice-over / body-and-hands demo (pouring ganache; face not visible in inspected frame)","Yes","Yes (body/hands visible, face not confirmed in inspected frame)","No","No (meir43214 only comments)","No","No","No CTA","Organic","reused_from_previous_dataset","DATA CONFLICT: action bar comment count 16 vs Insights תגובות 12."
